"55839365290770724262272511314485051392","55839365291080209272093856383209832447","2a02:4544:100::/40","43358","Mobile Communication Company of Iran PLC"
"55839365291080209272093856383209832448","55839365291699179291736546520659394559","2a02:4544:200::/39","43358","Mobile Communication Company of Iran PLC"
"55839365291699179291736546520659394560","55839365292937119331021926795558518783","2a02:4544:400::/38","43358","Mobile Communication Company of Iran PLC"
"55839365292937119331021926795558518784","55839365295412999409592687345356767231","2a02:4544:800::/37","43358","Mobile Communication Company of Iran PLC"
"55839365295412999409592687345356767232","55839365300364759566734208444953264127","2a02:4544:1000::/36","43358","Mobile Communication Company of Iran PLC"
"55839365300364759566734208444953264128","55839365310268279881017250644146257919","2a02:4544:2000::/35","43358","Mobile Communication Company of Iran PLC"
"55839365310268279881017250644146257920","55839365330075320509583335042532245503","2a02:4544:4000::/34","43358","Mobile Communication Company of Iran PLC"
"55839365330075320509583335042532245504","55839365369689401766715503839304220671","2a02:4544:8000::/33","43358","Mobile Communication Company of Iran PLC"
"55839365369689401766715503839304220672","55839365369844144271626176373666611199","2a02:4545::/41","43358","Mobile Communication Company of Iran PLC"
"55839365369844144271626176373666611200","55839365369921515524081512640847806463","2a02:4545:80::/42","43358","Mobile Communication Company of Iran PLC"
"55839365369921515524081512640847806464","55839365369960201150309180774438404095","2a02:4545:c0::/43","43358","Mobile Communication Company of Iran PLC"
"55839365369960201150309180774438404096","55839365369965036853587639291137228799","2a02:4545:e0::/46","197207","Mobile Communication Company of Iran PLC"
"55839365369965036853587639291137228800","55839365369969872556866097807836053503","2a02:4545:e4::/46","43358","Mobile Communication Company of Iran PLC"
"55839365369969872556866097807836053504","55839365369979543963423014841233702911","2a02:4545:e8::/45","43358","Mobile Communication Company of Iran PLC"
"55839365369979543963423014841233702912","55839365369998886776536848908029001727","2a02:4545:f0::/44","43358","Mobile Communication Company of Iran PLC"
"55839365369998886776536848908029001728","55839365370308371786358193976753782783","2a02:4545:100::/40","43358","Mobile Communication Company of Iran PLC"
"55839365370308371786358193976753782784","55839365370927341806000884114203344895","2a02:4545:200::/39","43358","Mobile Communication Company of Iran PLC"
"55839365370927341806000884114203344896","55839365372165281845286264389102469119","2a02:4545:400::/38","43358","Mobile Communication Company of Iran PLC"
"55839365372165281845286264389102469120","55839365374641161923857024938900717567","2a02:4545:800::/37","43358","Mobile Communication Company of Iran PLC"
"55839365374641161923857024938900717568","55839365379592922080998546038497214463","2a02:4545:1000::/36","43358","Mobile Communication Company of Iran PLC"
"55839365379592922080998546038497214464","55839365389496442395281588237690208255","2a02:4545:2000::/35","43358","Mobile Communication Company of Iran PLC"
"55839365389496442395281588237690208256","55839365409303483023847672636076195839","2a02:4545:4000::/34","43358","Mobile Communication Company of Iran PLC"
"55839365409303483023847672636076195840","55839365448917564280979841432848171007","2a02:4545:8000::/33","43358","Mobile Communication Company of Iran PLC"
"55839365448917564280979841432848171008","55839365607373889309508516619936071679","2a02:4546::/31","43358","Mobile Communication Company of Iran PLC"
